,Id,Period,Time,Player,TM,Foul,Season
0,294733,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,296888,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,298364,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,300089,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,302009,2. část,02:35,18 Michal Šíma,2,902 blokování hokejky,2021/2022
0,304774,3. část,04:59,12 Václav Boček,2,919 hra na zemi,2021/2022
0,304777,1. část,10:27,12 Václav Boček,2,901 sekání,2021/2022
1,304777,2. část,04:01,9 Jakub Klement,2,911 bránění ve hře,2021/2022
0,308696,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,ŽÁDNÉ VYLOUČENÍ,2021/2022
0,308719,3. část,03:31,72 Jaroslav Soldán,2,915 nedovolená vzdálenost,2021/2022
0,311041,2. část,11:25,18 Michal Šíma,2,908 vražení zády,2021/2022
1,311041,3. část,05:23,72 Jaroslav Soldán,2,925 nesportovní chování,2021/2022
0,311043,1. část,09:27,18 Michal Šíma,2,901 sekání,2021/2022
1,311043,2. část,03:21,18 Michal Šíma,2,901 sekání,2021/2022
2,311043,2. část,09:04,72 Jaroslav Soldán,2,909 hrubost,2021/2022
3,311043,3. část,05:11,12 Václav Boček,,612 vyloučení do konce utkání,2021/2022
4,311043,3. část,05:11,12 Václav Boček,5,909 hrubost,2021/2022
0,316158,3. část,09:49,12 Václav Boček,2,901 sekání,2021/2022
0,316363,1. část,07:06,72 Jaroslav Soldán,2,901 sekání,2021/2022
1,316363,3. část,06:45,97 Ondřej Zeman,2,901 sekání,2021/2022
2,316363,3. část,09:51,7 Martin Bukovič,2,903 nadzvedávání hokejky,2021/2022
3,316363,3. část,11:28,72 Jaroslav Soldán,2,901 sekání,2021/2022
4,316363,3. část,11:28,72 Jaroslav Soldán,2,925 nesportovní chování,2021/2022
